Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Source,Fu_median,N_fu,Fu_values,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,LogP_opera,Type,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,LogP_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver,pKa_acid_v1,pKa_base_v1,pKa_acid_v2,pKa_base_v2,FG_acid_v2,FG_base_v2,f_neutral_v2,fraction_ionized_v2,LogD74_calc_pkasolver_v2
Theophylline,CHEMBL1355736,198.18,72.68,1,5,-1.04,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,ChEMBL,0.61,3,"0.46, 0.61, 0.989",NA,NA,NA,ChEMBL_Fu,0.61,6.7,4,"8.8, 0, 4.6, 8.8",-0.02,3,"-0.02, -5, -0.02",NA,3.19,-0.02,-0.02,BASE,198.18199999999996,104.18,1,3,-1.8643999999999998,198.18,72.68,-1.04,0.0019999999999527063,31.5,0,2,0.8243999999999998,"4.044, 5.608, 8.83",3,"ACID, BASE, BASE",4.043516082763672,8.830215187072755,4.043516082763672,8.830215187072755,acidic_aniline,heterocyclic_N_basic_5ring_polyhet,4.3472133754795134e-4,0.999565278662452,-4.401789042689524
Thiopental,CHEMBL441,242.34,58.20,2,3,1.35,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,ChEMBL,0.14,1,0.14,NA,NA,NA,ChEMBL_Fu,0.14,4.199999999999999,2,"0.8, 7.6",NA,0,NA,5.69,NA,1.13,2.85,ACID,242.34400000000002,58.2,2,3,1.3498999999999999,242.34,58.2,1.35,0.004000000000019099,0,0,0,1.0000000000021103e-4,"7.691, 8.148",2,"ACID, ACID",7.690595645904541,NA,7.690595645904541,NA,acidic_amide,NA,0.661306353787287,0.33869364621271303,1.1704026953964084
Tinidazole,CHEMBL1220,247.28,95.10,0,6,0.53,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,ChEMBL,0.8,1,0.8,NA,NA,NA,ChEMBL_Fu,0.8,NA,0,NA,NA,0,NA,NA,3.09,-0.35,-0.35,BASE,247.27599999999998,95.1,0,5,0.5344200000000001,247.28,95.1,0.53,0.004000000000019099,0,0,1,0.0044200000000000905,3.467,1,BASE,NA,3.467329797744751,NA,3.467329797744751,NA,heterocyclic_N_basic_5ring_polyhet,0.9998832440321412,1.1675596785876152e-4,0.5299492905670576
Valproic Acid,CHEMBL109,144.21,37.30,1,1,2.29,CCCC(CCC)C(=O)O,ChEMBL,0.068,2,"0.084, 0.052",NA,NA,NA,ChEMBL_Fu,0.068,4.8,1,4.8,NA,0,NA,5.25,NA,0.6,2.75,ACID,144.214,37.3,1,1,2.2874,144.21,37.3,2.29,0.003999999999990678,0,0,0,0.0026000000000001577,4.837,1,ACID,4.836618785858154,NA,4.836618785858154,NA,carboxylate,NA,0.002725420604047074,0.9972745793959529,-0.27456646515948524
Zonisamide,CHEMBL750,212.23,86.19,1,4,0.62,NS(=O)(=O)Cc1noc2ccccc12,ChEMBL,0.308,1,0.308,NA,NA,NA,ChEMBL_Fu,0.308,NA,0,NA,NA,0,NA,7.61,NA,0.27,0.48,ACID,212.23000000000002,86.19000000000001,1,4,0.6163,212.23,86.19,0.62,2.842170943040401e-14,1.4210854715202004e-14,0,0,0.0037000000000000366,"2.56, 6.098, 8.089",3,"BASE, ACID, ACID",6.098102359771729,NA,6.098102359771729,NA,sulfonamide,NA,0.04752852513306994,0.9524714748669301,-0.7030456621728897
Alprazolam,CHEMBL661,308.77,43.07,0,4,3.58,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,ChEMBL,0.29,3,"0.29, 0.29, 0.29",NA,NA,NA,ChEMBL_Fu,0.29,2.4,3,"6.2, 2.4, 2.4",2.12,1,2.12,NA,4.83,2.12,2.12,BASE,308.77200000000005,43.07,0,3,3.5801200000000017,308.77,43.07,3.58,0.002000000000066393,0,0,1,1.2000000000167432e-4,"3.366, 4.153",2,"BASE, BASE",NA,4.153007087707519,NA,4.153007087707519,NA,heterocyclic_N_basic_5ring_polyhet,0.9994340719257733,5.659280742267292e-4,3.579754150987217
Amitriptyline,CHEMBL629,277.41,3.24,0,1,4.17,CN(C)CCC=C1c2ccccc2CCc2ccccc21,ChEMBL,0.065,2,"0.06, 0.07",NA,NA,NA,ChEMBL_Fu,0.065,9.4,11,"9.4, 9.42, 9.4, 9.4, 9.4, 9.49, 9.4, 8.2, 9.4, 9.5, 9.4",2.84,6,"2.62, 2.499, 2.83, 9.4, 2.85, 3",NA,9.91,2.41,4.92,BASE,277.411,3.24,0,1,4.168600000000003,277.41,3.24,4.17,9.999999999763531e-4,0,0,0,0.0013999999999967372,9.494,1,BASE,NA,9.493635368347167,NA,9.493635368347167,NA,aliphatic_amine,0.007996096244870746,0.9920039037551293,2.072878012855374
Amlodipine,CHEMBL1491,408.88,99.88,2,7,2.27,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,ChEMBL,0.005,1,0.005,NA,NA,NA,ChEMBL_Fu,0.005,9.145,6,"9.5, 9.03, 8.6, 8.6, 9.26, 9.45",1.66,1,1.66,NA,8.37,1.82,2.83,BASE,408.88200000000006,99.88000000000001,2,7,2.266300000000001,408.88,99.88,2.27,0.002000000000066393,1.4210854715202004e-14,0,0,0.0036999999999989264,"5.231, 6.789",2,"BASE, BASE",NA,6.789095344543457,NA,6.789095344543457,NA,aliphatic_amine,0.8032385959717784,0.19676140402822162,2.1748445683453284
Bupivacaine,CHEMBL1098,288.44,32.34,1,2,3.90,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,ChEMBL,0.14400000000000002,2,"0.056, 0.232",NA,NA,NA,ChEMBL_Fu,0.14400000000000002,8.129999999999999,2,"8.16, 8.1",NA,0,NA,NA,7.13,3.22,3.41,BASE,288.43500000000006,32.34,1,2,3.8965400000000026,288.44,32.34,3.9,0.004999999999938609,0,0,0,0.003459999999997354,"5.629, 8.016, 10.075",3,"BASE, BASE, ACID",10.074686241149902,8.016181926727295,10.074686241149902,8.016181926727295,acidic_amide,aliphatic_amine,0.19476773380592008,0.80523226619408,3.1895170111118416
Buprenorphine,CHEMBL511142,467.65,62.16,2,5,4.41,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,ChEMBL,0.04,1,0.04,NA,NA,NA,ChEMBL_Fu,0.04,8.965,2,"9.62, 8.31",3.93,1,3.93,NA,NA,NA,NA,NEUTRAL,467.6500000000003,62.16,2,5,4.413800000000004,467.65,62.16,4.41,3.410605131648481e-13,0,0,0,0.0038000000000035783,"8.643, 9.459, 10.018",3,"BASE, ACID, ACID",9.458731498718262,8.642583236694335,9.458731498718262,8.642583236694335,phenol,aliphatic_amine,0.05408206579444193,0.945917934205558,3.1430532721715974
Bupropion,CHEMBL894,239.75,29.10,1,2,3.30,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,ChEMBL,0.195,1,0.195,NA,NA,NA,ChEMBL_Fu,0.195,8.35,3,"8.2, 8.35, 8.6",NA,0,NA,NA,6.66,1.76,1.83,BASE,239.746,29.1,1,2,3.2993000000000023,239.75,29.1,3.3,0.003999999999990678,0,0,0,6.999999999974804e-4,8.376,1,BASE,NA,8.376285762786866,NA,8.376285762786866,NA,aliphatic_amine,0.09552375823612969,0.9044762417638703,2.2801114007734067
Caffeine,CHEMBL113,194.19,61.82,0,6,-1.03,Cn1c(=O)c2c(ncn2C)n(C)c1=O,ChEMBL,0.64,4,"0.64, 0.64, 0.64, 0.989",NA,NA,NA,ChEMBL_Fu,0.64,0.6,3,"0.6, 0, 3.6",-0.1,6,"-0.07, -0.14, -0.13, 0.02, -0.3, 0",NA,2.43,-0.07,-0.07,BASE,194.194,61.82,0,3,-1.0293,194.19,61.82,-1.03,0.003999999999990678,0,0,3,6.999999999999229e-4,3.649,1,BASE,NA,3.648952217102051,NA,3.648952217102051,NA,heterocyclic_N_basic_5ring_polyhet,0.9998226320361885,1.7736796381151443e-4,-1.0300770367600784
Chloramphenicol,CHEMBL130,323.13,112.70,3,5,0.91,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ChEMBL,0.47,3,"0.47, 0.47, 0.34",NA,NA,NA,ChEMBL_Fu,0.47,0.645,2,"1.29, 0",1.045,4,"1, 1.14, 1.04, 1.05",9.39,NA,1.14,1.14,ACID,323.13199999999995,112.70000000000002,3,5,0.9089999999999998,323.13,112.7,0.91,0.0019999999999527063,1.4210854715202004e-14,0,0,0.001000000000000223,"5.475, 8.027, 8.712, 9.126",4,"BASE, ACID, ACID, ACID",8.026658191680909,5.475377006530762,8.026658191680909,NA,alcohol,NA,0.808908557722789,0.19109144227721098,0.8178994299917872
Chlorpromazine,CHEMBL71,318.87,6.48,0,3,4.89,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ChEMBL,0.03,6,"0.03, 0.03, 0.056, 0.003, 0.0013, 0.302",NA,NA,NA,ChEMBL_Fu,0.03,9.25,19,"9.24, 9.25, 9.3, 9.2, 9.22, 9.41, 9.3, 9.22, 9.54, 9.3, 9.24, 9.25, 9.2, 9.22, 9.36, 9.19, 9.3, 9.22, 9.3",3.23,7,"3.167, 3.221, 9.36, 3.38, 3.7, 3.23, 3.18",NA,4.54,5.41,5.41,BASE,318.8730000000001,6.48,0,3,4.894400000000004,318.87,6.48,4.89,0.0030000000000995897,0,0,0,0.004400000000003956,"4.667, 9.257",2,"BASE, BASE",NA,9.256706657409667,NA,9.256706657409667,NA,aliphatic_amine,0.013718113749374978,0.9862818862506251,3.0272943996684845
Clemastine,CHEMBL1626,343.90,12.47,0,2,5.10,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,9.2,1,9.2,NA,0,NA,NA,10.03,1.47,4.1,BASE,343.898,12.47,0,2,5.104400000000005,343.9,12.47,5.1,0.0019999999999527063,0,0,0,0.004400000000005733,9.146,1,BASE,NA,9.145569267272949,NA,9.145569267272949,NA,aliphatic_amine,0.017648094660263052,0.9823519053397369,3.346697824556657
Clindamycin,CHEMBL1753,424.99,102.26,4,7,0.39,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,ChEMBL,0.08,2,"0.06, 0.1",NA,NA,NA,ChEMBL_Fu,0.08,NA,0,NA,NA,0,NA,NA,6.58,2.1,2.16,BASE,424.9910000000001,102.26,4,7,0.3895000000000004,424.99,102.26,0.39,0.00100000000009004,0,0,0,4.999999999996119e-4,"5.377, 7.217, 8.043, 8.149, 8.231, 8.704",6,"BASE, BASE, ACID, ACID, ACID, ACID",8.042730140686036,7.217128391265869,8.042730140686036,7.217128391265869,alcohol,aliphatic_amine,0.5307882593838689,0.46921174061613113,0.11492130804848094
Clomipramine,CHEMBL415,314.86,6.48,0,2,4.53,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,ChEMBL,0.0345,4,"0.04, 0.029, 0.004, 0.186",NA,NA,NA,ChEMBL_Fu,0.0345,9.38,8,"9.38, 9.38, 9.2, 9.38, 9.38, 9.1, 9.38, 9.4",3.2800000000000002,2,"3.32, 3.24",NA,7.42,4.88,5.19,BASE,314.86,6.48,0,2,4.528400000000004,314.86,6.48,4.53,0,0,0,0,0.001599999999996271,"5.462, 8.767",2,"BASE, BASE",NA,8.766977272033692,NA,8.766977272033692,NA,aliphatic_amine,0.041186680105485075,0.9588133198945149,3.144756786615895
Clonazepam,CHEMBL452,315.72,84.60,1,4,3.04,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,ChEMBL,0.15,1,0.15,NA,NA,NA,ChEMBL_Fu,0.15,NA,0,NA,NA,0,NA,8.75,NA,2.39,2.41,ACID,315.716,84.6,1,4,3.037700000000001,315.72,84.6,3.04,0.004000000000019099,0,0,0,0.0022999999999990806,"5.923, 9.462",2,"BASE, ACID",9.461673698425294,5.923081684112549,9.461673698425294,NA,acidic_amide,NA,0.9913984928257441,0.008601507174255896,3.0362482543331426
Codeine,CHEMBL485,299.37,41.93,1,4,1.50,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,ChEMBL,0.815,2,"0.93, 0.7",NA,NA,NA,ChEMBL_Fu,0.815,8.2,7,"8.2, 8.22, 7.9, 8.2, 8.2, 9.48, 8.4",0.225,2,"0.22, 0.23",NA,7.95,0.48,1.14,BASE,299.3700000000001,41.93,1,4,1.5010999999999999,299.37,41.93,1.5,1.1368683772161603e-13,0,0,0,0.0010999999999998789,"8.01, 8.785",2,"BASE, ACID",8.784990501403808,8.010235786437988,8.784990501403808,8.010235786437988,alcohol,aliphatic_amine,0.19541838569621428,0.8045816143037857,0.7909654213621797
Colchicine,CHEMBL107,399.44,83.09,1,6,2.87,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,ChEMBL,0.61,3,"0.61, 0.61, 0.61",NA,NA,NA,ChEMBL_Fu,0.61,NA,0,NA,1.03,1,1.03,NA,7.16,1.1,1.3,BASE,399.4430000000002,83.09,1,6,2.871600000000001,399.44,83.09,2.87,0.0030000000002132765,0,0,0,0.001600000000000712,"6.212, 9.577",2,"BASE, ACID",9.577218742370606,6.212011814117432,9.577218742370606,NA,acidic_amide,NA,0.9933945406151402,0.006605459384859791,2.867121768919488
Cotinine,CHEMBL578211,176.22,33.20,0,2,1.37,CN1C(=O)CC[C@H]1c1cccnc1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,4.5,1,4.5,NA,0,NA,NA,3.52,0.07,0.07,BASE,176.21900000000002,33.2,0,2,1.3749,176.22,33.2,1.37,9.999999999763531e-4,0,0,0,0.0048999999999999044,"3.112, 4.966",2,"BASE, BASE",NA,4.966265573501587,NA,3.1118795013427736,NA,heterocyclic_N_basic_6ring,0.9999484940820071,5.150591799285564e-5,1.3699776306879494
Desipramine,CHEMBL72,266.39,15.27,1,2,3.53,CNCCCN1c2ccccc2CCc2ccccc21,ChEMBL,0.155,4,"0.18, 0.15, 0.16, 0.011",NA,NA,NA,ChEMBL_Fu,0.155,10.2,14,"10.23, 10.23, 10.44, 10.2, 5.32, 10.2, 9.8, 3.35, 10.16, 10.23, 10.2, 10.2, 10, 10.2",1.28,7,"1.05, 1.28, 1.45, 10.2, 0.89, 1.09, 1.39",NA,7.06,4.74,4.9,BASE,266.388,15.27,1,2,3.5328000000000026,266.39,15.27,3.53,0.0020000000000095497,0,0,0,0.0028000000000028002,"5.907, 9.533",2,"BASE, BASE",NA,9.533452758789062,NA,9.533452758789062,NA,aliphatic_amine,0.00730070757705182,0.9926992924229482,1.393364953533771
Diazepam,CHEMBL12,284.75,32.67,0,2,3.15,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,ChEMBL,0.02,9,"0.013, 0.02, 0.023, 0.023, 0.019, 0.016, 0.019, 0.02, 0.023",NA,NA,NA,ChEMBL_Fu,0.02,3.55,5,"3.55, 3.55, 3.4, 3.6, 0.09",3.16,4,"2.79, 3.53, 3.64, 2.1",NA,3.6,2.91,2.91,BASE,284.74600000000004,32.67,0,2,3.153800000000002,284.75,32.67,3.15,0.003999999999962256,0,0,0,0.003800000000002246,3.351,1,BASE,NA,3.3506526851654055,NA,NA,NA,NA,1,0,3.15
Dothiepin,CHEMBL1492500,295.45,3.24,0,2,4.68,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,9.25,1,9.25,2.66,1,2.66,9.11,NA,4.48,4.49,ACID,295.451,3.24,0,2,4.675700000000004,295.45,3.24,4.68,0.0010000000000331966,0,0,0,0.004299999999995308,9.305,1,BASE,NA,9.305014457702637,NA,9.305014457702637,NA,aliphatic_amine,0.012291764116487868,0.9877082358835121,2.7696142173921308
Doxepin,CHEMBL1628227,279.38,12.47,0,2,3.96,CN(C)CCC=C1c2ccccc2COc2ccccc21,ChEMBL,0.2,1,0.2,NA,NA,NA,ChEMBL_Fu,0.2,9,5,"9, 8, 9, 9.37, 8",2.217,5,"2.27, 2.217, 2.199, 2.217, 2.3",NA,10.11,1.58,4.29,BASE,279.383,12.47,0,2,3.9624000000000033,279.38,12.47,3.96,0.002999999999985903,0,0,0,0.0024000000000032884,8.953,1,BASE,NA,8.952740783691405,NA,8.952740783691405,NA,aliphatic_amine,0.027243527868020395,0.9727564721319796,2.395263345326245
Duloxetine,CHEMBL1175,297.42,21.26,1,3,4.63,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,9.97,1,9.97,NA,0,NA,NA,5.24,3.77,3.77,BASE,297.423,21.259999999999998,1,3,4.630900000000003,297.42,21.26,4.63,0.002999999999985903,3.552713678800501e-15,0,0,9.000000000032315e-4,9.844,1,BASE,NA,9.844199180603027,NA,9.844199180603027,NA,aliphatic_amine,0.003582960045738027,0.996417039954262,2.1842419652935874
Escitalopram,CHEMBL1508,324.40,36.26,0,3,3.81,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,7.36,2.22,2.5,BASE,324.39900000000006,36.26,0,3,3.812980000000003,324.4,36.26,3.81,9.999999999195097e-4,0,0,0,0.0029800000000030913,9.606,1,BASE,NA,9.605813484191895,NA,9.605813484191895,NA,aliphatic_amine,0.006187156775982517,0.9938128432240175,1.601491120720416
Fluoxetine,CHEMBL41,309.33,21.26,1,2,4.44,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,ChEMBL,0.06,5,"0.04, 0.063, 0.056, 0.079, 0.06",NA,NA,NA,ChEMBL_Fu,0.06,10.2,6,"10.2, 10.2, 9.5, 10.2, 10.1, 10.5",2.92,2,"2.84, 3",NA,12.54,-1.09,4.05,BASE,309.33099999999996,21.259999999999998,1,2,4.435000000000003,309.33,21.26,4.44,9.999999999763531e-4,3.552713678800501e-15,0,0,0.004999999999997229,9.746,1,BASE,NA,9.746043128967285,NA,9.746043128967285,NA,aliphatic_amine,0.004487491019869559,0.9955125089801304,2.092003592500025
Fluvoxamine,CHEMBL814,318.34,56.84,1,4,3.20,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,ChEMBL,0.022,1,0.022,NA,NA,NA,ChEMBL_Fu,0.022,9.45,2,"9.5, 9.4",2.41,1,2.41,NA,7.05,1.7,1.86,BASE,318.339,56.84,1,4,3.201500000000001,318.34,56.84,3.2,9.999999999763531e-4,0,0,0,0.001500000000000945,9.595,1,BASE,NA,9.594550819396973,NA,9.594550819396973,NA,aliphatic_amine,0.006348676470891923,0.9936513235291081,1.0026831959534772
Hydralazine,CHEMBL276832,160.18,63.83,2,4,0.92,NNc1nncc2ccccc12,ChEMBL,0.12,1,0.12,NA,NA,NA,ChEMBL_Fu,0.12,7.3,1,7.3,NA,0,NA,NA,7.15,0.81,1,BASE,160.17999999999998,63.83,2,4,0.9153999999999998,160.18,63.83,0.92,2.842170943040401e-14,0,0,0,0.0046000000000002705,"2.728, 3.532, 5.767, 8.65",4,"BASE, BASE, BASE, ACID",8.649924926757812,5.767066478729248,8.649924926757812,5.767066478729248,acidic_aniline,heterocyclic_N_basic_polyhet,0.9263304830435838,0.07366951695641621,0.8867659557493095
Hydromorphone,CHEMBL398707,285.34,49.77,1,4,1.63,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,ChEMBL,0.86,1,0.86,NA,NA,NA,ChEMBL_Fu,0.86,NA,0,NA,NA,0,NA,NA,7.38,1.28,1.57,BASE,285.34299999999996,49.77,1,4,1.6302999999999999,285.34,49.77,1.63,0.002999999999985903,0,0,0,2.9999999999996696e-4,"7.934, 8.622",2,"BASE, ACID",8.622216873168945,7.934489612579346,8.622216873168945,7.934489612579346,phenol,aliphatic_amine,0.22303500380324842,0.7769649961967515,0.9783730279163795
